tipo_cola,tamano_cola,lambda_sobre_mu,lambda,Q,P_Q_n
finita_0,0,0.25,2.5,0,1.0
finita_0,0,0.5,5.0,0,1.0
finita_0,0,0.75,7.5,0,1.0
finita_0,0,1.0,10.0,0,1.0
finita_0,0,1.25,12.5,0,1.0
finita_10,10,0.25,2.5,0,0.9359436330685602
finita_10,10,0.25,2.5,1,0.047656408897682766
finita_10,10,0.25,2.5,2,0.012498918325752542
finita_10,10,0.25,2.5,3,0.0027956547911962793
finita_10,10,0.25,2.5,4,0.001171527766482251
finita_10,10,0.25,2.5,5,0.0007995335570005934
finita_10,10,0.25,2.5,6,0.00045455413170486736
finita_10,10,0.5,5.0,0,0.7558277960126117
finita_10,10,0.5,5.0,1,0.12427205686362708
finita_10,10,0.5,5.0,2,0.06045333319579058
finita_10,10,0.5,5.0,3,0.030598528025815596
finita_10,10,0.5,5.0,4,0.015384924510190894
finita_10,10,0.5,5.0,5,0.007320313815879267
finita_10,10,0.5,5.0,6,0.004159810102249999
finita_10,10,0.5,5.0,7,0.0016945809778577978
finita_10,10,0.5,5.0,8,0.0015916128410289286
finita_10,10,0.5,5.0,9,0.0011241388754694803
finita_10,10,0.5,5.0,10,0.0007970833350231092
finita_10,10,0.75,7.5,0,0.4602570023140153
finita_10,10,0.75,7.5,1,0.144632991142105
finita_10,10,0.75,7.5,2,0.10598818809513674
finita_10,10,0.75,7.5,3,0.08083317198776582
finita_10,10,0.75,7.5,4,0.06048213180207056
finita_10,10,0.75,7.5,5,0.0460346707301479
finita_10,10,0.75,7.5,6,0.03539545019945438
finita_10,10,0.75,7.5,7,0.024272957974123523
finita_10,10,0.75,7.5,8,0.01749426277041636
finita_10,10,0.75,7.5,9,0.01395466286763714
finita_10,10,0.75,7.5,10,0.01065451011712722
finita_10,10,1.0,10.0,0,0.1598230681122297
finita_10,10,1.0,10.0,1,0.07847652730547483
finita_10,10,1.0,10.0,2,0.08094025294529522
finita_10,10,1.0,10.0,3,0.08217897145873523
finita_10,10,1.0,10.0,4,0.0831280612046968
finita_10,10,1.0,10.0,5,0.08693770147847728
finita_10,10,1.0,10.0,6,0.08888669564789921
finita_10,10,1.0,10.0,7,0.09102398930228908
finita_10,10,1.0,10.0,8,0.08360421210425997
finita_10,10,1.0,10.0,9,0.08202470006880117
finita_10,10,1.0,10.0,10,0.08297582037184151
finita_10,10,1.25,12.5,0,0.040317368377025556
finita_10,10,1.25,12.5,1,0.027745231530191282
finita_10,10,1.25,12.5,2,0.03501699136428897
finita_10,10,1.25,12.5,3,0.04354663658759265
finita_10,10,1.25,12.5,4,0.05107414624981862
finita_10,10,1.25,12.5,5,0.06887573905693647
finita_10,10,1.25,12.5,6,0.08537813512526338
finita_10,10,1.25,12.5,7,0.10781343827725878
finita_10,10,1.25,12.5,8,0.1413300565926433
finita_10,10,1.25,12.5,9,0.17551481255351017
finita_10,10,1.25,12.5,10,0.2233874442854708
finita_2,2,0.25,2.5,0,0.9431181631753927
finita_2,2,0.25,2.5,1,0.04687593392155188
finita_2,2,0.25,2.5,2,0.010005902903055554
finita_2,2,0.5,5.0,0,0.7959711390927973
finita_2,2,0.5,5.0,1,0.13475152850147776
finita_2,2,0.5,5.0,2,0.06927733240572484
finita_2,2,0.75,7.5,0,0.6420237612270062
finita_2,2,0.75,7.5,1,0.20487080322485068
finita_2,2,0.75,7.5,2,0.15310543554814307
finita_2,2,1.0,10.0,0,0.4990732671279122
finita_2,2,1.0,10.0,1,0.24794153602302202
finita_2,2,1.0,10.0,2,0.25298519684906573
finita_2,2,1.25,12.5,0,0.39429968959287837
finita_2,2,1.25,12.5,1,0.26905917277744046
finita_2,2,1.25,12.5,2,0.33664113762968123
finita_5,5,0.25,2.5,0,0.9340636376996055
finita_5,5,0.25,2.5,1,0.05014528373245329
finita_5,5,0.25,2.5,2,0.01205418059704883
finita_5,5,0.25,2.5,3,0.003006497924014435
finita_5,5,0.25,2.5,4,0.0011527330014078343
finita_5,5,0.25,2.5,5,0.0007701677308696376
finita_5,5,0.5,5.0,0,0.7491544919311771
finita_5,5,0.5,5.0,1,0.12871932072246475
finita_5,5,0.5,5.0,2,0.06396375086817918
finita_5,5,0.5,5.0,3,0.0327720226448758
finita_5,5,0.5,5.0,4,0.01653321501170801
finita_5,5,0.5,5.0,5,0.008857198821595151
finita_5,5,0.75,7.5,0,0.5133092489423154
finita_5,5,0.75,7.5,1,0.16464275063942976
finita_5,5,0.75,7.5,2,0.1194742041729339
finita_5,5,0.75,7.5,3,0.08588923264339136
finita_5,5,0.75,7.5,4,0.06424426587204249
finita_5,5,0.75,7.5,5,0.05244029772988695
finita_5,5,1.0,10.0,0,0.27755094191050533
finita_5,5,1.0,10.0,1,0.1436419066516887
finita_5,5,1.0,10.0,2,0.1447249795928566
finita_5,5,1.0,10.0,3,0.14178094367020158
finita_5,5,1.0,10.0,4,0.14432448432608772
finita_5,5,1.0,10.0,5,0.1479767438486601
finita_5,5,1.25,12.5,0,0.15066030940591058
finita_5,5,1.25,12.5,1,0.10452972368532618
finita_5,5,1.25,12.5,2,0.12507659559807166
finita_5,5,1.25,12.5,3,0.16108850523989676
finita_5,5,1.25,12.5,4,0.20436747890567597
finita_5,5,1.25,12.5,5,0.2542773871651189
finita_50,50,0.25,2.5,0,0.9392841926109895
finita_50,50,0.25,2.5,1,0.04393772826960204
finita_50,50,0.25,2.5,2,0.011626880988246458
finita_50,50,0.25,2.5,3,0.0034706994112797514
finita_50,50,0.25,2.5,4,0.0016548325403969726
finita_50,50,0.25,2.5,5,0.0007545883550022192
finita_50,50,0.25,2.5,6,0.0015689228810855126
finita_50,50,0.25,2.5,7,0.0006338831149481194
finita_50,50,0.5,5.0,0,0.7483577419335924
finita_50,50,0.5,5.0,1,0.12294820007681637
finita_50,50,0.5,5.0,2,0.063033760605234
finita_50,50,0.5,5.0,3,0.033446011113091756
finita_50,50,0.5,5.0,4,0.018368132552658754
finita_50,50,0.5,5.0,5,0.007528589659087891
finita_50,50,0.5,5.0,6,0.003029539453108607
finita_50,50,0.5,5.0,7,0.0016057324125752883
finita_50,50,0.5,5.0,8,0.0018285333394361205
finita_50,50,0.5,5.0,9,0.0014304637996620784
finita_50,50,0.5,5.0,10,0.0014120717911334068
finita_50,50,0.5,5.0,11,0.001030658788776293
finita_50,50,0.5,5.0,12,0.0011708264402536628
finita_50,50,0.5,5.0,13,0.0005440410672605366
finita_50,50,0.75,7.5,0,0.44546735121511916
finita_50,50,0.75,7.5,1,0.14299861137627964
finita_50,50,0.75,7.5,2,0.1062674465354407
finita_50,50,0.75,7.5,3,0.07520336972219402
finita_50,50,0.75,7.5,4,0.053110023816510046
finita_50,50,0.75,7.5,5,0.04108793710021058
finita_50,50,0.75,7.5,6,0.03066022540641486
finita_50,50,0.75,7.5,7,0.02399998698270012
finita_50,50,0.75,7.5,8,0.01834009507958779
finita_50,50,0.75,7.5,9,0.016724541567027802
finita_50,50,0.75,7.5,10,0.011494569840344178
finita_50,50,0.75,7.5,11,0.008077468411210055
finita_50,50,0.75,7.5,12,0.006583834349061927
finita_50,50,0.75,7.5,13,0.006028397396469127
finita_50,50,0.75,7.5,14,0.003982390694953165
finita_50,50,0.75,7.5,15,0.003446759012052844
finita_50,50,0.75,7.5,16,0.002018479789874405
finita_50,50,0.75,7.5,17,0.0019333633134412144
finita_50,50,0.75,7.5,18,0.002426073359879505
finita_50,50,0.75,7.5,19,0.004759221824576833
finita_50,50,0.75,7.5,20,0.004065339114357159
finita_50,50,0.75,7.5,21,0.003209426418056367
finita_50,50,0.75,7.5,22,0.0014861930362271636
finita_50,50,0.75,7.5,23,0.0005153455670111384
finita_50,50,0.75,7.5,24,0.0002994839808390992
finita_50,50,0.75,7.5,25,0.005114195913986493
finita_50,50,0.75,7.5,26,0.006157717786151124
finita_50,50,0.75,7.5,27,0.00268832720438283
finita_50,50,0.75,7.5,28,0.0014264226251918188
finita_50,50,0.75,7.5,29,0.0013248139476664989
finita_50,50,0.75,7.5,30,0.000585697640549725
finita_50,50,0.75,7.5,31,0.001599905411059126
finita_50,50,0.75,7.5,32,0.0011643621843064977
finita_50,50,1.0,10.0,0,0.0674727624504686
finita_50,50,1.0,10.0,1,0.029499494887836077
finita_50,50,1.0,10.0,2,0.026895370008964303
finita_50,50,1.0,10.0,3,0.02530570795950194
finita_50,50,1.0,10.0,4,0.026372759132317302
finita_50,50,1.0,10.0,5,0.025420677317816203
finita_50,50,1.0,10.0,6,0.0259572788800425
finita_50,50,1.0,10.0,7,0.02533047767500197
finita_50,50,1.0,10.0,8,0.023647425349911343
finita_50,50,1.0,10.0,9,0.02374936397748331
finita_50,50,1.0,10.0,10,0.023960977365817766
finita_50,50,1.0,10.0,11,0.022964407075945076
finita_50,50,1.0,10.0,12,0.023915370973713462
finita_50,50,1.0,10.0,13,0.025106648545165765
finita_50,50,1.0,10.0,14,0.02259311191645281
finita_50,50,1.0,10.0,15,0.0211122909526125
finita_50,50,1.0,10.0,16,0.020416045838620337
finita_50,50,1.0,10.0,17,0.020108654814380733
finita_50,50,1.0,10.0,18,0.017344202354465082
finita_50,50,1.0,10.0,19,0.01667092612499047
finita_50,50,1.0,10.0,20,0.01470839397132668
finita_50,50,1.0,10.0,21,0.013336010218536944
finita_50,50,1.0,10.0,22,0.01332231263766592
finita_50,50,1.0,10.0,23,0.014401051744604714
finita_50,50,1.0,10.0,24,0.015574891301621813
finita_50,50,1.0,10.0,25,0.015546610294595874
finita_50,50,1.0,10.0,26,0.015006676563976296
finita_50,50,1.0,10.0,27,0.01602781652707697
finita_50,50,1.0,10.0,28,0.015385297944025189
finita_50,50,1.0,10.0,29,0.013991497511807024
finita_50,50,1.0,10.0,30,0.013076364627954033
finita_50,50,1.0,10.0,31,0.010977864128500697
finita_50,50,1.0,10.0,32,0.013156547145763708
finita_50,50,1.0,10.0,33,0.013403208830629388
finita_50,50,1.0,10.0,34,0.014479091469237048
finita_50,50,1.0,10.0,35,0.015411821319712953
finita_50,50,1.0,10.0,36,0.014390127578118066
finita_50,50,1.0,10.0,37,0.014826049161471908
finita_50,50,1.0,10.0,38,0.01638964042279574
finita_50,50,1.0,10.0,39,0.015617755568121838
finita_50,50,1.0,10.0,40,0.015761870213392336
finita_50,50,1.0,10.0,41,0.015628624869963543
finita_50,50,1.0,10.0,42,0.014703576489754313
finita_50,50,1.0,10.0,43,0.017246591709236227
finita_50,50,1.0,10.0,44,0.01852085340924986
finita_50,50,1.0,10.0,45,0.021040513738410118
finita_50,50,1.0,10.0,46,0.024071844209959434
finita_50,50,1.0,10.0,47,0.02313023690314025
finita_50,50,1.0,10.0,48,0.024934515266558252
finita_50,50,1.0,10.0,49,0.02539279303216264
finita_50,50,1.0,10.0,50,0.026777605110680388
finita_50,50,1.25,12.5,0,0.0027540244374727216
finita_50,50,1.25,12.5,1,0.001141763558108446
finita_50,50,1.25,12.5,2,0.0009209967145465614
finita_50,50,1.25,12.5,3,0.0013221990990853474
finita_50,50,1.25,12.5,4,0.001428699563952507
finita_50,50,1.25,12.5,5,0.0011759708436227942
finita_50,50,1.25,12.5,6,0.0012800757596758423
finita_50,50,1.25,12.5,7,0.0016811481087687635
finita_50,50,1.25,12.5,8,0.0018634000810662126
finita_50,50,1.25,12.5,9,0.0023200548346386947
finita_50,50,1.25,12.5,10,0.0019042298210184935
finita_50,50,1.25,12.5,11,0.002458557083964577
finita_50,50,1.25,12.5,12,0.0024527216278332578
finita_50,50,1.25,12.5,13,0.002372163558980819
finita_50,50,1.25,12.5,14,0.002964687449022993
finita_50,50,1.25,12.5,15,0.0017477853821722949
finita_50,50,1.25,12.5,16,0.002725720717712642
finita_50,50,1.25,12.5,17,0.0031858866263352213
finita_50,50,1.25,12.5,18,0.003576361424671648
finita_50,50,1.25,12.5,19,0.003843168604238725
finita_50,50,1.25,12.5,20,0.003442717099889103
finita_50,50,1.25,12.5,21,0.003132048121298915
finita_50,50,1.25,12.5,22,0.002724845535315813
finita_50,50,1.25,12.5,23,0.002164394261707367
finita_50,50,1.25,12.5,24,0.0025931872644848054
finita_50,50,1.25,12.5,25,0.002222948299396023
finita_50,50,1.25,12.5,26,0.0028370489057409423
finita_50,50,1.25,12.5,27,0.0024986431973504186
finita_50,50,1.25,12.5,28,0.0026162056725234067
finita_50,50,1.25,12.5,29,0.0022588375679167493
finita_50,50,1.25,12.5,30,0.0018449498572566596
finita_50,50,1.25,12.5,31,0.0019629259642117898
finita_50,50,1.25,12.5,32,0.0019267299015154516
finita_50,50,1.25,12.5,33,0.002504092829202507
finita_50,50,1.25,12.5,34,0.003857779727332253
finita_50,50,1.25,12.5,35,0.00514111409198836
finita_50,50,1.25,12.5,36,0.00791111860423548
finita_50,50,1.25,12.5,37,0.00907153250842475
finita_50,50,1.25,12.5,38,0.012765848296805066
finita_50,50,1.25,12.5,39,0.015096971144949487
finita_50,50,1.25,12.5,40,0.019502999328848653
finita_50,50,1.25,12.5,41,0.026079904593379062
finita_50,50,1.25,12.5,42,0.030764070902952734
finita_50,50,1.25,12.5,43,0.03585660811946501
finita_50,50,1.25,12.5,44,0.04577059565644539
finita_50,50,1.25,12.5,45,0.06213943694664844
finita_50,50,1.25,12.5,46,0.07881275598187815
finita_50,50,1.25,12.5,47,0.0989831943377663
finita_50,50,1.25,12.5,48,0.12528808898421967
finita_50,50,1.25,12.5,49,0.15608855271964467
finita_50,50,1.25,12.5,50,0.18902023828031803
infinita,infinita,0.25,2.5,0,0.9370842135830861
infinita,infinita,0.25,2.5,1,0.0471308337279828
infinita,infinita,0.25,2.5,2,0.01266985307243595
infinita,infinita,0.25,2.5,3,0.002559969119073004
infinita,infinita,0.25,2.5,4,0.0011563036504846913
infinita,infinita,0.25,2.5,5,0.0009260903722820047
infinita,infinita,0.5,5.0,0,0.7514340342366795
infinita,infinita,0.5,5.0,1,0.1279912444933886
infinita,infinita,0.5,5.0,2,0.062433072877293924
infinita,infinita,0.5,5.0,3,0.03301845922607628
infinita,infinita,0.5,5.0,4,0.015233086300041474
infinita,infinita,0.5,5.0,5,0.006494384974922178
infinita,infinita,0.5,5.0,6,0.0027767869428746727
infinita,infinita,0.5,5.0,7,0.00088672710147479
infinita,infinita,0.5,5.0,8,0.00018646206258689918
infinita,infinita,0.5,5.0,9,0.0003095606906242665
infinita,infinita,0.75,7.5,0,0.44758758013882216
infinita,infinita,0.75,7.5,1,0.14381870926605775
infinita,infinita,0.75,7.5,2,0.1066266658390476
infinita,infinita,0.75,7.5,3,0.07977501836295464
infinita,infinita,0.75,7.5,4,0.05938441456026973
infinita,infinita,0.75,7.5,5,0.04599445983790466
infinita,infinita,0.75,7.5,6,0.03136321313882405
infinita,infinita,0.75,7.5,7,0.02197260404321117
infinita,infinita,0.75,7.5,8,0.015340526276106048
infinita,infinita,0.75,7.5,9,0.01130510231391372
infinita,infinita,0.75,7.5,10,0.008261079841337794
infinita,infinita,0.75,7.5,11,0.005502827443848626
infinita,infinita,0.75,7.5,12,0.005084272859068092
infinita,infinita,0.75,7.5,13,0.0033620110702029427
infinita,infinita,0.75,7.5,14,0.003599716189670952
infinita,infinita,0.75,7.5,15,0.00461181003076431
infinita,infinita,0.75,7.5,16,0.004522217589143856
infinita,infinita,0.75,7.5,17,0.003435050992261246
infinita,infinita,0.75,7.5,18,0.002058884729698756
infinita,infinita,0.75,7.5,19,0.0016291255863338304
infinita,infinita,0.75,7.5,20,0.0019233321291761269
infinita,infinita,0.75,7.5,21,0.002287483143823561
infinita,infinita,0.75,7.5,22,0.0012704008679506628
infinita,infinita,0.75,7.5,23,0.002749749220793802
infinita,infinita,0.75,7.5,24,0.0023463484143918835
infinita,infinita,0.75,7.5,25,0.006601264519830181
infinita,infinita,0.75,7.5,26,0.005331273012888858
infinita,infinita,0.75,7.5,27,0.0041672430630417525
infinita,infinita,0.75,7.5,28,0.007056928041326671
infinita,infinita,0.75,7.5,29,0.006581921762241478
infinita,infinita,0.75,7.5,30,0.005346950974179237
infinita,infinita,0.75,7.5,31,0.004504810207462953
infinita,infinita,0.75,7.5,32,0.001090794796137402
infinita,infinita,1.0,10.0,0,0.04457316278083295
infinita,infinita,1.0,10.0,1,0.02148952752570653
infinita,infinita,1.0,10.0,2,0.021067175076814902
infinita,infinita,1.0,10.0,3,0.020790289156244295
infinita,infinita,1.0,10.0,4,0.018620699030862033
infinita,infinita,1.0,10.0,5,0.016321627045772644
infinita,infinita,1.0,10.0,6,0.01729050599081829
infinita,infinita,1.0,10.0,7,0.017826329647909443
infinita,infinita,1.0,10.0,8,0.017394771502909842
infinita,infinita,1.0,10.0,9,0.016132612476200434
infinita,infinita,1.0,10.0,10,0.014593951021181384
infinita,infinita,1.0,10.0,11,0.014890534457550444
infinita,infinita,1.0,10.0,12,0.013276304376850017
infinita,infinita,1.0,10.0,13,0.014512253821275082
infinita,infinita,1.0,10.0,14,0.014349760745054608
infinita,infinita,1.0,10.0,15,0.013751784029788059
infinita,infinita,1.0,10.0,16,0.014590293394406973
infinita,infinita,1.0,10.0,17,0.016201132640568612
infinita,infinita,1.0,10.0,18,0.014842706210953438
infinita,infinita,1.0,10.0,19,0.015144742963454402
infinita,infinita,1.0,10.0,20,0.014185211154999397
infinita,infinita,1.0,10.0,21,0.014447577972315943
infinita,infinita,1.0,10.0,22,0.013716706702757927
infinita,infinita,1.0,10.0,23,0.012530033040046734
infinita,infinita,1.0,10.0,24,0.01208809874762546
infinita,infinita,1.0,10.0,25,0.011635142408090588
infinita,infinita,1.0,10.0,26,0.01131964036897887
infinita,infinita,1.0,10.0,27,0.011559517951537243
infinita,infinita,1.0,10.0,28,0.011364126003101882
infinita,infinita,1.0,10.0,29,0.010816426587767405
infinita,infinita,1.0,10.0,30,0.009981521277108265
infinita,infinita,1.0,10.0,31,0.010740569657162014
infinita,infinita,1.0,10.0,32,0.010435927712405766
infinita,infinita,1.0,10.0,33,0.00987999780613098
infinita,infinita,1.0,10.0,34,0.010274115928421429
infinita,infinita,1.0,10.0,35,0.009181975509566115
infinita,infinita,1.0,10.0,36,0.008467519029637844
infinita,infinita,1.0,10.0,37,0.008190557246652158
infinita,infinita,1.0,10.0,38,0.008104318682950386
infinita,infinita,1.0,10.0,39,0.009559336900312524
infinita,infinita,1.0,10.0,40,0.008674077256604391
infinita,infinita,1.0,10.0,41,0.010275160741543258
infinita,infinita,1.0,10.0,42,0.010124067983024839
infinita,infinita,1.0,10.0,43,0.010154542016457824
infinita,infinita,1.0,10.0,44,0.009487631755318842
infinita,infinita,1.0,10.0,45,0.009712323677854968
infinita,infinita,1.0,10.0,46,0.010427056482231368
infinita,infinita,1.0,10.0,47,0.00984967874873437
infinita,infinita,1.0,10.0,48,0.008698286866930497
infinita,infinita,1.0,10.0,49,0.009460858277817657
infinita,infinita,1.0,10.0,50,0.00965110966719927
infinita,infinita,1.0,10.0,51,0.007909004752995014
infinita,infinita,1.0,10.0,52,0.006990689697828081
infinita,infinita,1.0,10.0,53,0.00817406455343974
infinita,infinita,1.0,10.0,54,0.006859726215623781
infinita,infinita,1.0,10.0,55,0.006112403425536925
infinita,infinita,1.0,10.0,56,0.006267337042489602
infinita,infinita,1.0,10.0,57,0.006184526239953022
infinita,infinita,1.0,10.0,58,0.0068024610679452025
infinita,infinita,1.0,10.0,59,0.007443339926663956
infinita,infinita,1.0,10.0,60,0.0061450206674877805
infinita,infinita,1.0,10.0,61,0.007173478950236724
infinita,infinita,1.0,10.0,62,0.00927856585475306
infinita,infinita,1.0,10.0,63,0.009457567266126355
infinita,infinita,1.0,10.0,64,0.00883904693550956
infinita,infinita,1.0,10.0,65,0.007309018409762505
infinita,infinita,1.0,10.0,66,0.008612850887508254
infinita,infinita,1.0,10.0,67,0.008154110031451636
infinita,infinita,1.0,10.0,68,0.005659610893723338
infinita,infinita,1.0,10.0,69,0.006187366200105414
infinita,infinita,1.0,10.0,70,0.006670208309753575
infinita,infinita,1.0,10.0,71,0.007617780712741892
infinita,infinita,1.0,10.0,72,0.007267482369587077
infinita,infinita,1.0,10.0,73,0.00621252452637618
infinita,infinita,1.0,10.0,74,0.006478868956313783
infinita,infinita,1.0,10.0,75,0.00727969135782935
infinita,infinita,1.0,10.0,76,0.005893175524482248
infinita,infinita,1.0,10.0,77,0.005712246923155056
infinita,infinita,1.0,10.0,78,0.005643242559109995
infinita,infinita,1.0,10.0,79,0.006178880814141295
