modelo,tipo_cola,tamano_cola,capacidad_total,corrida,lambda,mu,lambda_sobre_mu,L,Lq,W,Wq,utilizacion,prob_denegacion,llegadas,aceptados,denegados,completados
MM1,infinita,infinita,infinita,1,2.5,10.0,0.25,0.31383552157707656,0.06295363440347257,0.1278249801639795,0.025643028270253596,0.25088188717360393,0.0,492,492,0,491
MM1,infinita,infinita,infinita,2,2.5,10.0,0.25,0.3462816493679757,0.11495059530407169,0.14041815609075853,0.04566060704565442,0.231331054063904,0.0,491,491,0,488
MM1,infinita,infinita,infinita,3,2.5,10.0,0.25,0.31145708115373133,0.06585163757256333,0.12359407982290925,0.02613160221133466,0.245605443581168,0.0,504,504,0,504
MM1,infinita,infinita,infinita,4,2.5,10.0,0.25,0.2963254870734571,0.06596367620211771,0.11758947899740359,0.026176061984967344,0.23036181087133933,0.0,504,504,0,504
MM1,infinita,infinita,infinita,5,2.5,10.0,0.25,0.3536524734371626,0.08785653359130664,0.14553599729924388,0.03615495209518792,0.265795939845856,0.0,486,486,0,486
MM1,infinita,infinita,infinita,6,2.5,10.0,0.25,0.3019567274035393,0.07987733604364096,0.13450188303052973,0.03558010514193361,0.22207939135989832,0.0,449,449,0,449
MM1,infinita,infinita,infinita,7,2.5,10.0,0.25,0.3292173303895523,0.08820999747518368,0.1363218759377028,0.036525878871711666,0.24100733291436868,0.0,483,483,0,483
MM1,infinita,infinita,infinita,8,2.5,10.0,0.25,0.2942656739139905,0.06543926907227052,0.13367445400174496,0.029745122305577507,0.22882640484172,0.0,441,441,0,440
MM1,infinita,infinita,infinita,9,2.5,10.0,0.25,0.38020861366051006,0.11715055102910948,0.1508764339922659,0.046488313900440274,0.26305806263140064,0.0,504,504,0,504
MM1,infinita,infinita,infinita,10,2.5,10.0,0.25,0.3330726275315654,0.07638255187616565,0.13430347884337315,0.030799416079099053,0.2566900756553998,0.0,496,496,0,496
MM1,infinita,infinita,infinita,1,5.0,10.0,0.5,0.9039640915129828,0.4174419320602991,0.18911382667635623,0.08733094812976969,0.48652215945268373,0.0,956,956,0,956
MM1,infinita,infinita,infinita,2,5.0,10.0,0.5,0.9075552966944987,0.40543270274762544,0.18007049537589262,0.0804429965769098,0.5021225939468734,0.0,1008,1008,0,1008
MM1,infinita,infinita,infinita,3,5.0,10.0,0.5,0.9860721364720088,0.4864017987789013,0.1924043193116115,0.09490766805441976,0.49967033769310776,0.0,1025,1025,0,1025
MM1,infinita,infinita,infinita,4,5.0,10.0,0.5,1.0007828065172697,0.49907096193276457,0.1947694283811445,0.0970999211952976,0.5017118445845054,0.0,1029,1029,0,1027
MM1,infinita,infinita,infinita,5,5.0,10.0,0.5,0.976471294370043,0.4769293592920464,0.19568563013427712,0.09557702591022973,0.499541935077996,0.0,998,998,0,998
MM1,infinita,infinita,infinita,6,5.0,10.0,0.5,1.034662224984614,0.5199433701357269,0.20854433671119924,0.10447555507949693,0.5147188548488866,0.0,991,991,0,988
MM1,infinita,infinita,infinita,7,5.0,10.0,0.5,0.8643505166138046,0.38714704654265986,0.1802969931053625,0.08057717345218163,0.4772034700711447,0.0,958,958,0,956
MM1,infinita,infinita,infinita,8,5.0,10.0,0.5,0.9470583600254596,0.4465066394811044,0.1863143799803825,0.08777155612291875,0.5005517205443553,0.0,1017,1017,0,1015
MM1,infinita,infinita,infinita,9,5.0,10.0,0.5,1.0528367850003528,0.5582430631198299,0.20974117553170898,0.11088699521138459,0.49459372188052286,0.0,1004,1004,0,1000
MM1,infinita,infinita,infinita,10,5.0,10.0,0.5,0.9815937269703591,0.46716439647098895,0.18990438624611808,0.09037589716952973,0.5144293304993702,0.0,1034,1034,0,1032
MM1,infinita,infinita,infinita,1,7.5,10.0,0.75,4.112535820275257,3.345748288156326,0.5538603573531364,0.45060583005472465,0.7667875321189264,0.0,1486,1486,0,1485
MM1,infinita,infinita,infinita,2,7.5,10.0,0.75,2.3943287943777243,1.6689251773450633,0.3216022557928438,0.22416725014708708,0.725403617032662,0.0,1489,1489,0,1489
MM1,infinita,infinita,infinita,3,7.5,10.0,0.75,2.8957226410612202,2.1530207601313123,0.3826689931883405,0.2842905903251459,0.7427018809299142,0.0,1513,1513,0,1509
MM1,infinita,infinita,infinita,4,7.5,10.0,0.75,3.0899863007878103,2.338602761323232,0.40297793602999066,0.30495690543928783,0.751383539464566,0.0,1535,1535,0,1533
MM1,infinita,infinita,infinita,5,7.5,10.0,0.75,2.5322902524912765,1.7776327076214629,0.34731265439168235,0.24380214554674856,0.754657544869817,0.0,1459,1459,0,1458
MM1,infinita,infinita,infinita,6,7.5,10.0,0.75,2.797932781818016,2.0606957123611163,0.373551163799713,0.27512626333259277,0.7372370694568977,0.0,1499,1499,0,1498
MM1,infinita,infinita,infinita,7,7.5,10.0,0.75,3.047514080212589,2.2507709672569103,0.39020666840109974,0.28819090489845234,0.7967431129556745,0.0,1562,1562,0,1562
MM1,infinita,infinita,infinita,8,7.5,10.0,0.75,3.51334276362506,2.747797741177466,0.45125305255461406,0.35293786298796703,0.7655450224476009,0.0,1558,1558,0,1557
MM1,infinita,infinita,infinita,9,7.5,10.0,0.75,2.519704489902291,1.7890602895787082,0.33836020930650945,0.24025605111375198,0.7306442003235822,0.0,1490,1490,0,1489
MM1,infinita,infinita,infinita,10,7.5,10.0,0.75,2.2947066242537852,1.5941557144500778,0.3132254872131248,0.21755261305527313,0.7005509098037114,0.0,1467,1467,0,1463
MM1,infinita,infinita,infinita,1,10.0,10.0,1.0,49.9415170601932,48.94474751447761,4.886198278976968,4.7861806377112766,0.9967695457156703,0.0,2065,2065,0,1993
MM1,infinita,infinita,infinita,2,10.0,10.0,1.0,18.96864057166903,17.98740200343916,1.9020392895943836,1.8002379518352467,0.9812385682298683,0.0,1969,1969,0,1926
MM1,infinita,infinita,infinita,3,10.0,10.0,1.0,42.28965617380637,41.317313045910936,4.119912285041974,4.020782400975492,0.9723431278955011,0.0,2049,2049,0,1957
MM1,infinita,infinita,infinita,4,10.0,10.0,1.0,17.96902462250421,16.993149778007034,1.7570856274271758,1.6595294042163926,0.9758748444971735,0.0,2036,2036,0,1996
MM1,infinita,infinita,infinita,5,10.0,10.0,1.0,66.70374339535256,65.72379594003613,6.86190808715257,6.759916274708347,0.9799474553164431,0.0,1974,1974,0,1921
MM1,infinita,infinita,infinita,6,10.0,10.0,1.0,42.30368477701632,41.33085622981719,4.030170862935415,3.9268833412025885,0.9728285471991888,0.0,2008,2008,0,1883
MM1,infinita,infinita,infinita,7,10.0,10.0,1.0,57.766372518996214,56.78007557106744,5.707334902800441,5.607849424670512,0.9862969479288627,0.0,2042,2042,0,1982
MM1,infinita,infinita,infinita,8,10.0,10.0,1.0,57.487323436832924,56.504076107989995,5.406862913866351,5.306021280001927,0.9832473288427944,0.0,2083,2083,0,1948
MM1,infinita,infinita,infinita,9,10.0,10.0,1.0,39.01699583033834,38.034777898081074,4.004523059780676,3.900147956221716,0.9822179322571568,0.0,1954,1954,0,1881
MM1,infinita,infinita,infinita,10,10.0,10.0,1.0,17.92322713758755,16.975034875361573,1.824915150070633,1.7283544302666305,0.9481922622259452,0.0,1973,1973,0,1962
MM1,infinita,infinita,infinita,1,12.5,10.0,1.25,281.4702430690667,280.47148231810564,22.508355845421907,22.406400310571033,0.9987607509612837,0.0,2499,2499,0,1958
MM1,infinita,infinita,infinita,2,12.5,10.0,1.25,245.31129300583103,244.3114047483136,19.96691514332483,19.868064649743253,0.9998882575180568,0.0,2471,2471,0,2023
MM1,infinita,infinita,infinita,3,12.5,10.0,1.25,231.85929893311703,230.86264989560644,19.272173964237,19.17173643849302,0.9966490375103674,0.0,2426,2426,0,1982
MM1,infinita,infinita,infinita,4,12.5,10.0,1.25,240.89946495737698,239.9005068939674,19.012995835858547,18.913724746184734,0.9989580634103521,0.0,2521,2521,0,2011
MM1,infinita,infinita,infinita,5,12.5,10.0,1.25,207.1059823162677,206.10825911783405,16.72735230660719,16.627351338405184,0.9977231984335094,0.0,2447,2447,0,1993
MM1,infinita,infinita,infinita,6,12.5,10.0,1.25,234.95801317268015,233.9582559587075,18.543394545555152,18.444573388090348,0.9997572139725159,0.0,2508,2508,0,2023
MM1,infinita,infinita,infinita,7,12.5,10.0,1.25,189.46012411558075,188.46428215558103,15.274774191604648,15.177005530002985,0.9958419599999984,0.0,2447,2447,0,2036
MM1,infinita,infinita,infinita,8,12.5,10.0,1.25,251.43688864675823,250.43738432055815,21.01136753241302,20.913153424457803,0.9995043261997796,0.0,2472,2472,0,2033
MM1,infinita,infinita,infinita,9,12.5,10.0,1.25,296.2546509263234,295.2554496682707,22.23636175650319,22.13792903492053,0.9992012580529394,0.0,2644,2644,0,2030
MM1,infinita,infinita,infinita,10,12.5,10.0,1.25,321.25774854720055,320.2590469212106,26.011871737959776,25.907723488130767,0.9987016259905604,0.0,2509,2509,0,1916
MM1,finita_0,0,1,1,2.5,10.0,0.25,0.20442136671300973,0.0,0.1024979416825134,0.0,0.20442136671300973,0.22524271844660193,515,399,116,398
MM1,finita_0,0,1,2,2.5,10.0,0.25,0.1916820918779402,0.0,0.10445890565555324,0.0,0.1916820918779402,0.22899159663865545,476,367,109,367
MM1,finita_0,0,1,3,2.5,10.0,0.25,0.19311474793823322,0.0,0.09554072304343302,0.0,0.19311474793823322,0.16322314049586778,484,405,79,404
MM1,finita_0,0,1,4,2.5,10.0,0.25,0.18660756413932894,0.0,0.09330378206966447,0.0,0.18660756413932894,0.1935483870967742,496,400,96,400
MM1,finita_0,0,1,5,2.5,10.0,0.25,0.1958177681530387,0.0,0.09798561436947757,0.0,0.1958177681530387,0.19556451612903225,496,399,97,398
MM1,finita_0,0,1,6,2.5,10.0,0.25,0.20926949104363043,0.0,0.10704321792513065,0.0,0.20926949104363043,0.21485943775100402,498,391,107,391
MM1,finita_0,0,1,7,2.5,10.0,0.25,0.22426424229942896,0.0,0.11129739071931959,0.0,0.22426424229942896,0.24813432835820895,536,403,133,403
MM1,finita_0,0,1,8,2.5,10.0,0.25,0.19790861799402,0.0,0.09920231478396992,0.0,0.19790861799402,0.2099009900990099,505,399,106,399
MM1,finita_0,0,1,9,2.5,10.0,0.25,0.20490085255586796,0.0,0.10374726711689516,0.0,0.20490085255586796,0.21782178217821782,505,395,110,395
MM1,finita_0,0,1,10,2.5,10.0,0.25,0.20754903493634258,0.0,0.09986641094613619,0.0,0.20754903493634258,0.2049808429118774,522,415,107,414
MM1,finita_0,0,1,1,5.0,10.0,0.5,0.3241123282929028,0.0,0.09353891148424325,0.0,0.3241123282929028,0.3317261330761813,1037,693,344,693
MM1,finita_0,0,1,2,5.0,10.0,0.5,0.3304573964348893,0.0,0.09775656535888519,0.0,0.3304573964348893,0.31616161616161614,990,677,313,676
MM1,finita_0,0,1,3,5.0,10.0,0.5,0.3553976894780142,0.0,0.10452873219941594,0.0,0.3553976894780142,0.3247269116186693,1007,680,327,680
MM1,finita_0,0,1,4,5.0,10.0,0.5,0.3304676454868978,0.0,0.09983916782081505,0.0,0.3304676454868978,0.34390485629335976,1009,662,347,662
MM1,finita_0,0,1,5,5.0,10.0,0.5,0.3334749129130614,0.0,0.1018244008894844,0.0,0.3334749129130614,0.34760956175298807,1004,655,349,655
MM1,finita_0,0,1,6,5.0,10.0,0.5,0.32297883427358465,0.0,0.09937810285341066,0.0,0.32297883427358465,0.33537832310838445,978,650,328,650
MM1,finita_0,0,1,7,5.0,10.0,0.5,0.3554610810263544,0.0,0.1065178756090169,0.0,0.3554610810263544,0.361376673040153,1046,668,378,667
MM1,finita_0,0,1,8,5.0,10.0,0.5,0.3465906371178844,0.0,0.10235932230737445,0.0,0.3465906371178844,0.35,1040,676,364,675
MM1,finita_0,0,1,9,5.0,10.0,0.5,0.3242124429451197,0.0,0.0992993699678774,0.0,0.3242124429451197,0.33299284984678246,979,653,326,653
MM1,finita_0,0,1,10,5.0,10.0,0.5,0.32893646555088035,0.0,0.10426421773361837,0.0,0.32893646555088035,0.3322751322751323,945,631,314,630
MM1,finita_0,0,1,1,7.5,10.0,0.75,0.44014010047102026,0.0,0.1041893765884501,0.0,0.44014010047102026,0.4271186440677966,1475,845,630,844
MM1,finita_0,0,1,2,7.5,10.0,0.75,0.4336083063345717,0.0,0.10428520962636867,0.0,0.4336083063345717,0.43859649122807015,1482,832,650,831
MM1,finita_0,0,1,3,7.5,10.0,0.75,0.41651518728841175,0.0,0.09917028268771709,0.0,0.41651518728841175,0.4258373205741627,1463,840,623,840
MM1,finita_0,0,1,4,7.5,10.0,0.75,0.4290474606961432,0.0,0.10312964305222674,0.0,0.4290474606961432,0.424326192121631,1447,833,614,832
MM1,finita_0,0,1,5,7.5,10.0,0.75,0.44301101764894085,0.0,0.09996779004096396,0.0,0.44301101764894085,0.42504866969500327,1541,886,655,885
MM1,finita_0,0,1,6,7.5,10.0,0.75,0.4237947832578987,0.0,0.09876745203075393,0.0,0.4237947832578987,0.40717736369910285,1449,859,590,858
MM1,finita_0,0,1,7,7.5,10.0,0.75,0.4304201704684975,0.0,0.09570608897013225,0.0,0.4304201704684975,0.41022280471821754,1526,900,626,899
MM1,finita_0,0,1,8,7.5,10.0,0.75,0.4495259079472176,0.0,0.10239770112692884,0.0,0.4495259079472176,0.4320827943078913,1546,878,668,878
MM1,finita_0,0,1,9,7.5,10.0,0.75,0.44266393059901415,0.0,0.10060543877250322,0.0,0.44266393059901415,0.43517329910141206,1558,880,678,880
MM1,finita_0,0,1,10,7.5,10.0,0.75,0.439166100009173,0.0,0.10189468677707031,0.0,0.439166100009173,0.4340118187787262,1523,862,661,862
MM1,finita_0,0,1,1,10.0,10.0,1.0,0.5069768878006831,0.0,0.09906348510598165,0.0,0.5069768878006831,0.5076923076923077,2080,1024,1056,1023
MM1,finita_0,0,1,2,10.0,10.0,1.0,0.4819569745665788,0.0,0.09716874487229411,0.0,0.4819569745665788,0.4979757085020243,1976,992,984,992
MM1,finita_0,0,1,3,10.0,10.0,1.0,0.4937715476631419,0.0,0.09777654409171127,0.0,0.4937715476631419,0.4799176107106076,1942,1010,932,1010
MM1,finita_0,0,1,4,10.0,10.0,1.0,0.48367502559018,0.0,0.096831836954991,0.0,0.48367502559018,0.4847859721505931,1939,999,940,999
MM1,finita_0,0,1,5,10.0,10.0,1.0,0.4990946394995198,0.0,0.10168407443587224,0.0,0.4990946394995198,0.5119284294234593,2012,982,1030,981
MM1,finita_0,0,1,6,10.0,10.0,1.0,0.5082762197922963,0.0,0.09760414927772176,0.0,0.5082762197922963,0.5,2082,1041,1041,1040
MM1,finita_0,0,1,7,10.0,10.0,1.0,0.5028643637089705,0.0,0.0983133697051784,0.0,0.5028643637089705,0.5053191489361702,2068,1023,1045,1022
MM1,finita_0,0,1,8,10.0,10.0,1.0,0.4979391950886249,0.0,0.10039096675173889,0.0,0.4979391950886249,0.5101234567901235,2025,992,1033,992
MM1,finita_0,0,1,9,10.0,10.0,1.0,0.5174209011872981,0.0,0.10274381249982777,0.0,0.5174209011872981,0.5014836795252225,2022,1008,1014,1007
MM1,finita_0,0,1,10,10.0,10.0,1.0,0.48818943886699495,0.0,0.09667117601326633,0.0,0.48818943886699495,0.48416751787538304,1958,1010,948,1010
MM1,finita_0,0,1,1,12.5,10.0,1.25,0.5526553231744056,0.0,0.09851253532520599,0.0,0.5526553231744056,0.5565217391304348,2530,1122,1408,1122
MM1,finita_0,0,1,2,12.5,10.0,1.25,0.5426807774401928,0.0,0.0984727160597987,0.0,0.5426807774401928,0.5561820378574305,2483,1102,1381,1101
MM1,finita_0,0,1,3,12.5,10.0,1.25,0.5685473527408071,0.0,0.10189020658437405,0.0,0.5685473527408071,0.5512665862484921,2487,1116,1371,1116
MM1,finita_0,0,1,4,12.5,10.0,1.25,0.5468957469431655,0.0,0.09409367776238708,0.0,0.5468957469431655,0.5270435136234242,2459,1163,1296,1162
MM1,finita_0,0,1,5,12.5,10.0,1.25,0.5709945028770741,0.0,0.10380125405973308,0.0,0.5709945028770741,0.5632458233890215,2514,1098,1416,1097
MM1,finita_0,0,1,6,12.5,10.0,1.25,0.5620426822756628,0.0,0.10081483090146418,0.0,0.5620426822756628,0.5568362480127186,2516,1115,1401,1115
MM1,finita_0,0,1,7,12.5,10.0,1.25,0.5624676081229684,0.0,0.10328109011717489,0.0,0.5624676081229684,0.5639278557114229,2495,1088,1407,1087
MM1,finita_0,0,1,8,12.5,10.0,1.25,0.5555964251683183,0.0,0.09738762930207157,0.0,0.5555964251683183,0.5358014646053703,2458,1141,1317,1141
MM1,finita_0,0,1,9,12.5,10.0,1.25,0.547422441354502,0.0,0.0994409521079931,0.0,0.547422441354502,0.5373949579831933,2380,1101,1279,1101
MM1,finita_0,0,1,10,12.5,10.0,1.25,0.5575660982727196,0.0,0.10082569589018438,0.0,0.5575660982727196,0.5706521739130435,2576,1106,1470,1106
MM1,finita_2,2,3,1,2.5,10.0,0.25,0.3355968721058899,0.07436992260769187,0.13238535388792502,0.02933724757699877,0.26122694949819797,0.013618677042801557,514,507,7,507
MM1,finita_2,2,3,2,2.5,10.0,0.25,0.2941094161145832,0.06467934431621399,0.12157129214543173,0.02683790220589792,0.2294300717983692,0.014285714285714285,490,483,7,482
MM1,finita_2,2,3,3,2.5,10.0,0.25,0.36282986635910086,0.096472626277506,0.14807346142373382,0.039551093375899175,0.26635724008159484,0.010121457489878543,494,489,5,487
MM1,finita_2,2,3,4,2.5,10.0,0.25,0.2666517421266538,0.04562601096466478,0.11695251847660254,0.02001140831783543,0.22102573116198904,0.006535947712418301,459,456,3,456
MM1,finita_2,2,3,5,2.5,10.0,0.25,0.3397683960978708,0.08274653469308778,0.1301794621064639,0.03170365313911409,0.25702186140478295,0.018796992481203006,532,522,10,522
MM1,finita_2,2,3,6,2.5,10.0,0.25,0.2991381946231796,0.059751549214284466,0.12184855178133587,0.024338716584229925,0.23938664540889512,0.00808080808080808,495,491,4,491
MM1,finita_2,2,3,7,2.5,10.0,0.25,0.30493883406005107,0.06386453178575327,0.12471935953376322,0.026120462898058593,0.2410743022742978,0.0020408163265306124,490,489,1,489
MM1,finita_2,2,3,8,2.5,10.0,0.25,0.3171863308513472,0.07441117408215434,0.12246576480746994,0.02873018304330283,0.2427751567691928,0.01893939393939394,528,518,10,518
MM1,finita_2,2,3,9,2.5,10.0,0.25,0.3376624115117228,0.06990181916290472,0.13074917771729155,0.02709372835771501,0.26776059234881805,0.009578544061302681,522,517,5,516
MM1,finita_2,2,3,10,2.5,10.0,0.25,0.23627255389664792,0.03705388417236866,0.11359257398877304,0.017814367390561858,0.1992186697242793,0.004784688995215311,418,416,2,416
MM1,finita_2,2,3,1,5.0,10.0,0.5,0.7321330654169037,0.27636241334924777,0.1612627897394061,0.06087277827075942,0.45577065206765593,0.08097165991902834,988,908,80,908
MM1,finita_2,2,3,2,5.0,10.0,0.5,0.7778017607737301,0.302428780570765,0.16708952970434593,0.06496858873700645,0.4753729802029652,0.08366141732283465,1016,931,85,931
MM1,finita_2,2,3,3,5.0,10.0,0.5,0.7124200318306935,0.2560961980981284,0.15584380878700252,0.05603855538252263,0.4563238337325651,0.05960945529290853,973,915,58,914
MM1,finita_2,2,3,4,5.0,10.0,0.5,0.7069737653830335,0.24879937527542345,0.14516915100267627,0.05108816740768449,0.4581743901076101,0.050682261208576995,1026,974,52,974
MM1,finita_2,2,3,5,5.0,10.0,0.5,0.7533632291078254,0.2827562602581095,0.1600778864365698,0.060062265723520664,0.4706069688497159,0.07100591715976332,1014,942,72,941
MM1,finita_2,2,3,6,5.0,10.0,0.5,0.7171670229134192,0.2633317182451007,0.15506314008938793,0.056936587728670426,0.45383530466831845,0.06565656565656566,990,925,65,925
MM1,finita_2,2,3,7,5.0,10.0,0.5,0.7384869896844548,0.26733662141756015,0.1556347712717502,0.056340699982625954,0.4711503682668946,0.06686332350049164,1017,949,68,949
MM1,finita_2,2,3,8,5.0,10.0,0.5,0.7693398768835545,0.292597305471774,0.16708330880273647,0.06347042435864135,0.4767425714117806,0.07715430861723446,998,921,77,920
MM1,finita_2,2,3,9,5.0,10.0,0.5,0.6865007280401625,0.24368598902846997,0.15514140746670338,0.055070280006433894,0.4428147390116925,0.06842105263157895,950,885,65,885
MM1,finita_2,2,3,10,5.0,10.0,0.5,0.7921815274982411,0.2996672714146957,0.16590895301102893,0.06286269000045087,0.4925142560835454,0.07101167315175097,1028,955,73,953
MM1,finita_2,2,3,1,7.5,10.0,0.75,1.233430565778188,0.5640604635541275,0.18884510134508387,0.08637935871934,0.6693701022240595,0.1636828644501279,1564,1308,256,1306
MM1,finita_2,2,3,2,7.5,10.0,0.75,1.1096847388607831,0.5035854052563554,0.18115320136404,0.08213778779463494,0.6060993336044277,0.17117726657645466,1478,1225,253,1224
MM1,finita_2,2,3,3,7.5,10.0,0.75,1.0731101235458629,0.47162799818389345,0.17169761976733808,0.07546047970942295,0.6014821253619694,0.14965986394557823,1470,1250,220,1250
MM1,finita_2,2,3,4,7.5,10.0,0.75,1.1627935881993112,0.5221235668295079,0.18486384550068558,0.08300851618911097,0.6406700213698048,0.16688741721854305,1510,1258,252,1258
MM1,finita_2,2,3,5,7.5,10.0,0.75,1.1420201249756163,0.5055366765463448,0.18254002992014537,0.08080814443912322,0.6364834484292714,0.15736381977135172,1487,1253,234,1251
MM1,finita_2,2,3,6,7.5,10.0,0.75,1.1096291039286736,0.49610812406957305,0.18293870315331368,0.0817985365324935,0.6135209798591008,0.16963064295485636,1462,1214,248,1213
MM1,finita_2,2,3,7,7.5,10.0,0.75,1.173624083216683,0.5355936374627678,0.18454773987494622,0.08420888614191391,0.6380304457539168,0.1646981627296588,1524,1273,251,1271
MM1,finita_2,2,3,8,7.5,10.0,0.75,1.157662374317291,0.5225952785786174,0.17580294218941397,0.07936146979174144,0.6350670957386723,0.14757281553398058,1545,1317,228,1317
MM1,finita_2,2,3,9,7.5,10.0,0.75,1.1288366358191135,0.5018008224262537,0.17706016565799923,0.07871279785132786,0.6270358133928593,0.13783783783783785,1480,1276,204,1275
MM1,finita_2,2,3,10,7.5,10.0,0.75,1.113779779069312,0.4877847703039273,0.17781688871864063,0.07792088982490852,0.625995008765384,0.15050847457627117,1475,1253,222,1252
MM1,finita_2,2,3,1,10.0,10.0,1.0,1.4812051983190155,0.7380870072295024,0.19663554896211632,0.09800012193182248,0.7431181910895107,0.24612306153076538,1999,1507,492,1505
MM1,finita_2,2,3,2,10.0,10.0,1.0,1.5306710706210054,0.7764420301056927,0.20763632472920387,0.10524260112157716,0.7542290405153141,0.24383983572895276,1948,1473,475,1472
MM1,finita_2,2,3,3,10.0,10.0,1.0,1.490303235165527,0.7439916881306093,0.1919232087364136,0.09576705243721036,0.7463115470349158,0.23354774863928748,2021,1549,472,1546
MM1,finita_2,2,3,4,10.0,10.0,1.0,1.5477853877872214,0.7978360700327691,0.20915128370881378,0.10781341532815766,0.7499493177544523,0.27601367855398146,2047,1482,565,1480
MM1,finita_2,2,3,5,10.0,10.0,1.0,1.5651416150699857,0.8067850867400884,0.21767407634636746,0.11219712812239584,0.7583565283298955,0.28776622090143633,2019,1438,581,1435
MM1,finita_2,2,3,6,10.0,10.0,1.0,1.441398141771459,0.7110000191958656,0.19483754381533808,0.09614604722053625,0.730398122575592,0.23395445134575568,1932,1480,452,1479
MM1,finita_2,2,3,7,10.0,10.0,1.0,1.5417049411859898,0.7920404604951794,0.20970476844183897,0.10759494581467799,0.7496644806908107,0.25038245792962777,1961,1470,491,1467
MM1,finita_2,2,3,8,10.0,10.0,1.0,1.4628650358253787,0.7143727099477059,0.19278620383581546,0.09413803465339303,0.7484923258776712,0.2501233349777997,2027,1520,507,1517
MM1,finita_2,2,3,9,10.0,10.0,1.0,1.4323119392837569,0.7190065400053589,0.18619608926916706,0.09349889987065786,0.7133053992783995,0.24373464373464374,2035,1539,496,1538
MM1,finita_2,2,3,10,10.0,10.0,1.0,1.491509165895142,0.7395576853287628,0.19800914923682564,0.09818159838482464,0.7519514805663771,0.24862979571499752,2007,1508,499,1506
MM1,finita_2,2,3,1,12.5,10.0,1.25,1.757995196198867,0.9310275750221547,0.21060160638576744,0.11151204016506659,0.8269676211767097,0.32168968318440294,2462,1670,792,1669
MM1,finita_2,2,3,2,12.5,10.0,1.25,1.7994666377185506,0.9716587287293562,0.2242875096091186,0.12098684563901727,0.8278079089891998,0.36475247524752474,2525,1604,921,1602
MM1,finita_2,2,3,3,12.5,10.0,1.25,1.7721265048399164,0.9433224145669656,0.2137383796261,0.11377143863639624,0.8288040902729554,0.33064516129032256,2480,1660,820,1658
MM1,finita_2,2,3,4,12.5,10.0,1.25,1.7946174764255773,0.9620125566095689,0.2233877057684388,0.11973347930615924,0.832604919816008,0.34780844155844154,2464,1607,857,1604
MM1,finita_2,2,3,5,12.5,10.0,1.25,1.7021619757198831,0.9017795700314365,0.19994815765841442,0.10590663836660923,0.8003824056884433,0.3219259848786311,2513,1704,809,1702
MM1,finita_2,2,3,6,12.5,10.0,1.25,1.7349685422207202,0.9219056742549312,0.21230422535788662,0.11271120266302845,0.8130628679657919,0.3340122199592668,2455,1635,820,1632
MM1,finita_2,2,3,7,12.5,10.0,1.25,1.8210206719519697,0.9793113308540964,0.21804870272288082,0.11708063614605321,0.8417093410978757,0.36,2600,1664,936,1661
MM1,finita_2,2,3,8,12.5,10.0,1.25,1.7574720219155224,0.9270856554613305,0.21127976477738383,0.11119478364863673,0.8303863664541953,0.3203605079885293,2441,1659,782,1656
MM1,finita_2,2,3,9,12.5,10.0,1.25,1.7156531603176137,0.8992090817307589,0.20929119318040304,0.10967374259930471,0.8164440785868529,0.33088834555827223,2454,1642,812,1639
MM1,finita_2,2,3,10,12.5,10.0,1.25,1.8198475925273272,0.9861018931074297,0.21847384385166907,0.11828857602856296,0.8337456994198952,0.3503507404520655,2566,1667,899,1664
MM1,finita_5,5,6,1,2.5,10.0,0.25,0.3723956930067309,0.10982176541959522,0.15015955363174632,0.04428296992725614,0.26257392758713566,0.0,496,496,0,496
MM1,finita_5,5,6,2,2.5,10.0,0.25,0.3496940440924397,0.0825799318259214,0.1337262118900343,0.03157932383400436,0.2671141122665183,0.0,523,523,0,523
